tznkv,858,285,285,"остроумно одеваюсь, стильно шучу
основа @tuznikova
21buttons 155k/YouTube 100k
vtuznikova@mail.ru",https://www.instagram.com/tznkv
sofia._.paint,88,81,81,💗Тут будут мои работы... Мне 14 лет. Я начинающий художник . Учyсь в художественной школе.,https://www.instagram.com/sofia._.paint
just.lenas,1123,353,353,"too good for u🥂
📍Based in Moscow 
 🎓Plekhanov university ‘23",https://www.instagram.com/just.lenas
an.ka_y,346,460,460,"♥18 𝒚.𝒐.✨
♥𝑰𝒛𝒉𝒆𝒗𝒔𝒌  
♥𝒇𝒊𝒓𝒔𝒕-𝒚𝒆𝒂𝒓 𝒍𝒂𝒘 𝒔𝒕𝒖𝒅𝒆𝒏𝒕📕
🔐 @_._.littledevil._._",https://www.instagram.com/an.ka_y
violettavic99,1281,614,614,"▫️Niznekamsk/Tatarstan 
▫️15 y.o
▫️Photographer 
Здесь вы можете задать анонимный вопрос🤭
                              ⬇️",https://www.instagram.com/violettavic99
_ler_rel_,237,1593,1593,Эммм да,https://www.instagram.com/_ler_rel_
svesve124,76,37,37,...,https://www.instagram.com/svesve124
tusupova______,421,1115,1115,"/𝕙𝕖𝕝𝕝𝕠 𝕞𝕪 𝕗𝕣𝕚𝕖𝕟𝕕𝕤 ♡シ/
/𝔸𝕕𝕖𝕝𝕖𓁹/
/11𝕪.𝕠/
/𝕂𝕒𝕣𝕒𝕘𝕒𝕟𝕕𝕪♕/
/𝔾𝕚𝕣𝕝☆♡✞♫☻𓁹シ𑁍/
/Здесь ты будешь витать в облаках🤤✨☁️♡/
/Все крутые фото здесь💘🌻✨✌️/",https://www.instagram.com/tusupova______
shopogolik_es,269,44,44,"🇪🇸 Твой Байер в Испапании😘
🛍 Супер быстрая доставка из 🇪🇸 в 🇺🇦
🚚 Отправка заказов каждое воскресенье 
💯 Оригинал по выгодным ценам
⬇️ Скидки",https://www.instagram.com/shopogolik_es
anatoliiirgit,435,705,705,"Russia,Moscow🇷🇺",https://www.instagram.com/anatoliiirgit
levanovna86,37,120,120,"Живу...
Люблю...
Смеюсь...",https://www.instagram.com/levanovna86
a.n.n.a.p.r.i.v.e.t,52,175,175,⭐️hi⭐️,https://www.instagram.com/a.n.n.a.p.r.i.v.e.t
21buttonswhy,14,80,80,In this page we'll show the best outfits available according to our fashion passioned team.,https://www.instagram.com/21buttonswhy
garderob.shop.ekb,840,667,667,"➰ Стиль и минимализм 
▫️Одежда и аксессуары
🍂AUTUMN COLLECTION ~ 
🕊 Своё производство вязаного трикотажа 
▫️Бесплатная доставка от 3000₽📦",https://www.instagram.com/garderob.shop.ekb
